,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
32,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1344.0,0.56,2023,76721.311,2.0,57.084308779761905,0.6666666666666666,2357.894736842105,0.0022321262490606467
33,Sold,Residential,Rural Residential,1.0,0.0,3.0,1242.0,0.68,2020,91957.364,1.0,74.03974557165861,0.3333333333333333,1799.9999999999998,0.0024154394892150627
34,Sold,Residential,Rural Residential,1.0,0.0,3.0,1030.0,1.0,2019,92675.781,1.0,89.976486407767,0.3333333333333333,1019.8019801980198,0.002912593081620567
35,Sold,Residential,Rural Residential,1.0,1.0,3.0,1342.0,0.28,2019,93945.312,1.5,70.00395827123697,0.5,4627.586206896551,0.0022354527909628093
36,Sold,Residential,Rural Residential,1.0,0.0,2.0,768.0,0.36,2021,89824.723,1.0,116.95927473958334,0.5,2075.675675675676,0.002604132758688038
37,Sold,Residential,Rural Residential,2.0,0.0,3.0,1184.0,0.5,2018,97111.554,2.0,82.01989358108108,0.6666666666666666,2321.5686274509803,0.002533762383763651
38,Sold,Residential,Rural Residential,2.0,0.0,3.0,1332.0,0.69,2019,95214.844,2.0,71.48261561561561,0.6666666666666666,1902.857142857143,0.0022522353435785016
39,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,1.0,4.0,2464.0,5.0,2023,79918.033,2.5,32.434266639610385,0.625,491.81636726546907,0.0016233700350242084
40,Sold,Residential,Rural Residential,1.0,0.0,2.0,936.0,0.4,2021,91023.985,1.0,97.24784722222222,0.5,2282.9268292682923,0.002136729308447559
41,Sold,Residential,Rural Residential,2.0,0.0,3.0,1233.0,0.29,2018,99053.785,2.0,80.33559205190592,0.6666666666666666,4110.0,0.0024330702914007185
42,Sold,Residential,Rural Residential,2.0,0.0,3.0,1342.0,0.57,2020,98255.814,2.0,73.21595678092399,0.6666666666666666,2313.793103448276,0.0022354527909628093
43,Sold,Residential,Rural Residential,2.0,0.0,4.0,1925.0,0.5,2017,104132.653,2.0,54.09488467532468,0.5,3774.5098039215686,0.0020779112835777476
44,Sold,Residential,Rural Residential,3.0,1.0,5.0,2660.0,3.67,2017,104795.918,3.5,39.39696165413534,0.7,722.8260869565217,0.0018796921816083396
45,Sold,Residential,Rural Residential,1.0,0.0,2.0,1012.0,4.6,2015,108333.333,1.0,107.04874802371542,0.5,219.52277657266814,0.0019762650566694006
46,Sold,Residential,Rural Residential,1.0,0.0,3.0,1188.0,0.21,2021,94741.697,1.0,79.7489031986532,0.3333333333333333,5400.0,0.0025252312690970617
